Tree,Group,FtNo,Number,Name,ValueType,Unit,Default,Min,Max,Command,DataAttribute,Rsware,Remark
Tuningless,Decoupled Disturbance Compensator,Ft-4.38/D0,19,DDC Interlocking,int,-,0x0,0x0,0x1,SET/STR,Servo Off,O,[v2.10+]
Tuningless,Decoupled Disturbance Compensator,Ft-4.36,20,DDC Gain,int,-,10,0,60,SET/STR,Always,O,[v2.10+]
Tuningless,Decoupled Disturbance Compensator,Ft-4.39/D3,21,DDC Q Filter Order Select,int,-,0x0,0x0,0x2,SET/STR,Always,O,[v2.10+]
Tuningless,Decoupled Disturbance Compensator,Ft-4.41,22,DDC Q Value,int,-,707,0,1000,SET/STR,,O,[v2.10+]
Tuningless,Decoupled Disturbance Compensator,Ft-4.43,23,Cascade DDC 2nd LPF Cutoff Freq,int,Hz,0,0,10000,SET/STR,,O,[v2.10+]
Tuningless,Mode1 Positioning Priority,Ft-3.43/D0,24,Encoder Signal Filter,int,-,0x0,0x0,0x1,SET/STR,Servo Off,O,[v2.10+]
Tuningless,Mode2 Positioning Min Overshoot,Ft-3.34,25,Outer Loop P Gain,int,-,202,0,6000,SET/STR,Always,O,[v2.10+]
Tuningless,Mode2 Positioning Min Overshoot,Ft-4.38/D2,26,Outer Loop P Gain Interlocking,int,-,0x0,0x0,0x1,SET/STR,Servo Off,O,[v2.10+]
Tuningless,Mode3 Path Tracking,Ft-2.28,27,Path Tracking Mode Vel LPF BW,int,Hz,38,0,6000,SET/STR,Always,O,[v2.10+]
Tuningless,Mode3 Path Tracking,Ft-2.29,28,Path Tracking Mode Vel FF LPF BW,int,Hz,29,0,6000,SET/STR,Always,O,[v2.10+]
Tuningless,Mode3 Path Tracking,Ft-3.43/D1,29,Path Tracking Input Smoothing Filter,int,-,0x0,0x0,0x1,SET/STR,Servo Off,O,[v2.10+]
Tuningless,Main Current Regulator Gains,Ft-4.06,30,Current Gain,int,-,0x0001,0x0000,0x0002,STR,Drive Off=>On,O,
Tuningless,Main Current Regulator Gains,Ft-4.28/D2,31,Current Command Feedforward,int,-,0,0,1,SET/STR,Always,O,2017.10.16 추가
Tuningless,Main Current Regulator Gains,Ft-4.28/D1,32,Current Command LPF Bandwidth Interlocking(Tuningless),enum,-,0,0,1,SET/STR,Always,O,0: Enable; 1: Disable
Tuningless,Main Current Regulator Gains,Ft-4.27,33,Current Command LBF Bandwidth,int,-,804,0,10000,SET/STR,Always,O,2016.08.23 추가 [v2.00+]
Tuningless,Main Current Regulator Gains,Ft-4.13,34,Resonant Freq Suppression,int,-,10000,0,10000,SET/STR,Always,O,
Tuningless,Main Current Regulator Gains,Ft-4.14,35,Notch Width,int,-,10,0,20,SET/STR,Always,O,
Tuningless,Main Current Regulator Gains,Ft-4.15,36,Notch Depth,int,-,100,0,100,SET/STR,Always,O,CSD7 신규기능
Tuningless,Main Current Regulator Gains,Ft-4.16,37,Resonant Freq Suppression 2nd,int,-,10000,0,10000,SET/STR,Always,O,
Tuningless,Main Current Regulator Gains,Ft-4.17,38,Notch Width 2nd,int,-,10,0,20,SET/STR,Always,O,
Tuningless,Main Current Regulator Gains,Ft-4.18,39,Notch Depth 2nd,int,-,100,0,100,SET/STR,Always,O,
Tuningless,Main Current Regulator Gains,Ft-4.19,40,Resonant Freq Suppression 3rd,int,-,10000,0,10000,SET/STR,Always,O,CSD7 신규기능
Tuningless,Main Current Regulator Gains,Ft-4.20,41,Notch Width 3rd,int,-,10,0,20,SET/STR,Always,O,CSD7 신규기능
Tuningless,Main Current Regulator Gains,Ft-4.21,42,Notch Depth 3rd,int,-,100,0,100,SET/STR,Always,O,CSD7 신규기능
Tuningless,Main Current Regulator Gains,Ft-4.29,43,Resonant Freq Suppression 4th,int,Hz,10000,0,10000,SET/STR,Always,O,
Tuningless,Main Current Regulator Gains,Ft-4.30,44,Notch Width 4th,int,Hz,10,0,20,SET/STR,Always,O,
Tuningless,Main Current Regulator Gains,Ft-4.31,45,Notch Depth 4th,int,Hz,100,0,100,SET/STR,Always,O,
Tuningless,Main Current Regulator Gains,Ft-4.32,46,Resonant Freq Suppression 5th,int,Hz,10000,0,10000,SET/STR,Always,O,
Tuningless,Main Current Regulator Gains,Ft-4.33,47,Notch Width 5th,int,Hz,10,0,20,SET/STR,Always,O,
Tuningless,Main Current Regulator Gains,Ft-4.34,48,Notch Depth 5th,int,Hz,100,0,100,SET/STR,Always,O,
Tuningless,Persistent Vibration Filter,Ft-2.31/D1,49,POC,int,-,,,,SET/STR,,O,
Tuningless,Persistent Vibration Filter,Ft-2.31/D2,50,POC BPF Upper Cutoff Frequency Order Select,int,-,,,,SET/STR,,O,
Tuningless,Persistent Vibration Filter,Ft-2.32,51,POC BPF Upper Cut Off Frequency,int,Hz,600,0,10000,SET/STR,Always,O,
Tuningless,Persistent Vibration Filter,Ft-2.33,52,POC BPF Lower Cut Off Frequency,int,Hz,15,0,10000,SET/STR,Always,O,
Tuningless,Persistent Vibration Filter,Ft-2.34,53,POC Kd Gain,int,-,10,0,10000,SET/STR,Always,O,
